BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
17819 MERRIDY ST,403904914860,130.2,COMPLIED,-38.8,-38.8,96.0,No,Not Available,Not Available,The Korda Group/RPK Development,97547.0,Not Available,Not Available,1.0,95.0,Not Available,91325,2017,Multifamily Housing,18.9,53.1,5020.2,18.9,53.1,1985,009,"50,000 to 99,999 sqft"
7654 LAUREL CANYON BLVD,441919899013,107.3,COMPLIED,-43.4,-43.4,99.0,No,Not Available,Not Available,Laurel Tower Apartment Complex llc,63821.0,Not Available,Not Available,1.0,95.0,Not Available,91605,2017,Multifamily Housing,24.9,59.3,6224.5,25.8,60.2,1985,038,"50,000 to 99,999 sqft"
7771 W FOOTHILL BLVD,470655916534,39.1,COMPLIED,3.0,3.0,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,10500.0,Not Available,Not Available,1.0,100.0,Not Available,91042,2017,Library,52.8,148.0,93.2,Not Available,Not Available,1995,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
22048 SHERMAN WAY,377827895980,,NOT COMPLIED,,,,,,,,,,,,,,91303,2017,,,,,,,,048,"50,000 to 99,999 sqft"
1919 ARGYLE AVE,463105861126,251.4,COMPLIED,48.7,48.7,5.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",68230.0,Not Available,Not Available,1.0,100.0,Not Available,90068,2018,Multifamily Housing,58.7,118.9,4323.1,Not Available,Not Available,1928,001,"50,000 to 99,999 sqft"
5363 WILSHIRE BLVD,456871845301,107.5,COMPLIED,-15.0,-15.0,73.0,No,Not Available,Not Available,"Conservice, LLC",48388.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2018,Multifamily Housing,36.2,68.0,1372.9,36.4,68.1,2005,027,"20,000 to 49,999 sqft"
10740 WILSHIRE BLVD,429217844548,775.0,COMPLIED,-11.3,-11.3,64.0,No,Not Available,Not Available,HVS,150962.0,8073.5,53.48,1.0,60.0,Not Available,90024,2017,Hotel,77.7,174.4,8073.5,76.3,170.3,1972,023,"100,000+ sqft"
1317 SHATTO ST,480890842494,,NOT COMPLIED,,,,,,,,,,,,,,90017,2017,,,,,,,,020,"100,000+ sqft"
12950 PIERCE ST,436253919176,116.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"A&M Pierce Property, LLC",71000.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2017,Manufacturing/Industrial Plant,21.6,67.8,450.3,21.9,68.7,1989,014,"50,000 to 99,999 sqft"
1050 WILSHIRE BLVD,481871841344,275.6,COMPLIED,-25.2,-25.2,86.0,No,Not Available,Not Available,equity residential,201000.0,Not Available,Not Available,1.0,95.0,Not Available,90017,2016,Multifamily Housing,18.1,56.8,4819.0,18.1,56.8,2008,016,"100,000+ sqft"
